datetime,pm25
20150331-6:00,16
20150331-7:00,24
20150331-8:00,63
20150331-9:00,37
20150331-10:00,26
20150331-11:00,18
20150331-12:00,17
20150331-13:00,15
20150331-14:00,16
20150331-15:00,16
20150331-16:00,14
20150331-17:00,14
20150331-18:00,16
20150331-19:00,22
20150331-20:00,34
20150331-21:00,35
20150331-22:00,34
20150331-23:00,29
20150401-0:00,35
20150401-1:00,39
20150401-2:00,42
20150401-3:00,30
20150401-4:00,26
20150401-5:00,26
20150401-6:00,39
20150401-7:00,46
20150401-8:00,44
20150401-9:00,48
20150401-10:00,35
20150401-11:00,30
20150401-12:00,32
20150401-13:00,24
20150401-14:00,34
20150401-15:00,35
20150401-16:00,34
20150401-17:00,39
20150401-18:00,53
20150401-19:00,69
20150401-20:00,106
20150401-21:00,138
20150401-22:00,158
20150401-23:00,181
20150402-0:00,201
20150402-1:00,159
20150402-2:00,112
20150402-3:00,90
20150402-4:00,70
20150402-5:00,59
20150402-6:00,50
20150402-7:00,55
20150402-8:00,60
20150402-9:00,56
20150402-10:00,74
20150402-11:00,80
20150402-12:00,54
20150402-13:00,36
20150402-14:00,38
20150402-15:00,62
20150402-16:00,33
20150402-17:00,16
20150402-18:00,18
20150402-19:00,18
20150402-20:00,16
20150402-21:00,12
20150402-22:00,15
20150402-23:00,9
20150403-0:00,17
20150403-1:00,49
20150403-2:00,43
20150403-3:00,40
20150403-4:00,42
20150403-5:00,40
20150403-6:00,44
20150403-7:00,55
20150403-8:00,67
20150403-9:00,67
20150403-10:00,51
20150403-11:00,31
20150403-12:00,29
20150403-13:00,37
20150403-14:00,37
20150403-15:00,33
20150403-16:00,32
20150403-17:00,31
20150403-18:00,36
20150403-19:00,36
20150403-20:00,47
20150403-21:00,50
20150403-22:00,58
20150403-23:00,52
20150404-0:00,34
20150404-1:00,30
20150404-2:00,36
20150404-3:00,32
20150404-4:00,31
20150404-5:00,28
20150404-6:00,21
20150404-7:00,30
20150404-8:00,28
20150404-9:00,20
20150404-10:00,15
20150404-11:00,15
20150404-12:00,21
20150404-13:00,18
20150404-14:00,16
20150404-15:00,14
20150404-16:00,15
20150404-17:00,16
20150404-18:00,19
20150404-19:00,24
20150404-20:00,26
20150404-21:00,33
20150404-22:00,41
20150404-23:00,34
20150405-0:00,40
20150405-1:00,49
20150405-2:00,57
20150405-3:00,67
20150405-4:00,77
20150405-5:00,69
20150405-6:00,63
20150405-7:00,66
20150405-8:00,82
20150405-9:00,87
20150405-10:00,81
20150405-11:00,67
20150405-12:00,53
20150405-13:00,59
20150405-14:00,59
20150405-15:00,46
20150405-16:00,40
20150405-17:00,36
20150405-18:00,30
20150405-19:00,27
20150405-20:00,23
20150405-21:00,22
20150405-22:00,21
20150405-23:00,12
20150406-0:00,18
20150406-1:00,24
20150406-2:00,19
20150406-3:00,16
20150406-4:00,16
20150406-5:00,17
20150406-6:00,19
20150406-7:00,20
20150406-8:00,27
20150406-9:00,32
20150406-10:00,31
20150406-11:00,23
20150406-12:00,15
20150406-13:00,10
20150406-14:00,9
20150406-15:00,10
20150406-16:00,12
20150406-17:00,16
20150406-18:00,15
20150406-19:00,16
20150406-20:00,18
20150406-21:00,26
20150406-22:00,31
20150406-23:00,51
20150407-0:00,48
20150407-1:00,28
20150407-2:00,15
20150407-3:00,12
20150407-4:00,13
20150407-5:00,14
20150407-6:00,15
20150407-7:00,23
20150407-8:00,31
20150407-9:00,32
20150407-10:00,28
20150407-11:00,18
20150407-12:00,12
20150407-13:00,11
20150407-14:00,10
20150407-15:00,9
20150407-16:00,9
20150407-17:00,11
20150407-18:00,13
20150407-19:00,20
20150407-20:00,33
20150407-21:00,39
20150407-22:00,30
20150407-23:00,35
20150408-0:00,42
20150408-1:00,35
20150408-2:00,33
20150408-3:00,30
20150408-4:00,29
20150408-5:00,28
20150408-6:00,28
20150408-7:00,31
20150408-8:00,31
20150408-9:00,30
20150408-10:00,25
20150408-11:00,23
20150408-12:00,24
20150408-13:00,23
20150408-14:00,21
20150408-15:00,22
20150408-16:00,33
20150408-17:00,36
20150408-18:00,47
20150408-19:00,56
20150408-20:00,71
20150408-21:00,81
20150408-22:00,78
20150408-23:00,72
20150409-0:00,76
20150409-1:00,83
20150409-2:00,90
20150409-3:00,88
20150409-4:00,81
20150409-5:00,78
20150409-6:00,77
20150409-7:00,72
20150409-8:00,71
20150409-9:00,72
20150409-10:00,75
20150409-11:00,75
20150409-12:00,64
20150409-13:00,55
20150409-14:00,43
20150409-15:00,40
20150409-16:00,30
20150409-17:00,40
20150409-18:00,45
20150409-19:00,48
20150409-20:00,49
20150409-21:00,49
20150409-22:00,44
20150409-23:00,48
20150410-0:00,55
20150410-1:00,53
20150410-2:00,55
20150410-3:00,57
20150410-4:00,43
20150410-5:00,26
20150410-6:00,15
20150410-7:00,24
20150410-8:00,23
20150410-9:00,18
20150410-10:00,16
20150410-11:00,19
20150410-12:00,15
20150410-13:00,10
20150410-14:00,7
20150410-15:00,8
20150410-16:00,8
20150410-17:00,9
20150410-18:00,10
20150410-19:00,15
20150410-20:00,28
20150410-21:00,30
20150410-22:00,36
20150410-23:00,30
20150411-0:00,40
20150411-1:00,39
20150411-2:00,36
20150411-3:00,31
20150411-4:00,26
20150411-5:00,25
20150411-6:00,27
20150411-7:00,36
20150411-8:00,33
20150411-9:00,28
20150411-10:00,30
20150411-11:00,41
20150411-12:00,46
20150411-13:00,42
20150411-14:00,45
20150411-15:00,46
20150411-16:00,45
20150411-17:00,59
20150411-18:00,64
20150411-19:00,60
20150411-20:00,63
20150411-21:00,71
20150411-22:00,89
20150411-23:00,83
20150412-0:00,90
20150412-1:00,60
20150412-2:00,31
20150412-3:00,29
20150412-4:00,33
20150412-5:00,35
20150412-6:00,38
20150412-7:00,44
20150412-8:00,44
20150412-9:00,56
20150412-10:00,59
20150412-11:00,62
20150412-12:00,44
20150412-13:00,35
20150412-14:00,35
20150412-15:00,31
20150412-16:00,30
20150412-17:00,33
20150412-18:00,38
20150412-19:00,46
20150412-20:00,58
20150412-21:00,71
20150412-22:00,58
20150412-23:00,54
20150413-0:00,57
20150413-1:00,53
20150413-2:00,68
20150413-3:00,79
20150413-4:00,91
20150413-5:00,82
20150413-6:00,78
20150413-7:00,77
20150413-8:00,104
20150413-9:00,59
20150413-10:00,61
20150413-11:00,60
20150413-12:00,60
20150413-13:00,67
20150413-14:00,51
20150413-15:00,60
20150413-16:00,49
20150413-17:00,53
20150413-18:00,60
20150413-19:00,71
20150413-20:00,87
20150413-21:00,83
20150413-22:00,73
20150413-23:00,59
20150414-0:00,55
20150414-1:00,58
20150414-2:00,62
20150414-3:00,63
20150414-4:00,56
20150414-5:00,53
20150414-6:00,52
20150414-7:00,51
20150414-8:00,49
20150414-9:00,48
20150414-10:00,42
20150414-11:00,36
20150414-12:00,36
20150414-13:00,38
20150414-14:00,34
20150414-15:00,30
20150414-16:00,29
20150414-17:00,28
20150414-18:00,31
20150414-19:00,41
20150414-20:00,39
20150414-21:00,45
20150414-22:00,49
20150414-23:00,61
20150415-0:00,134
20150415-1:00,109
20150415-2:00,85
20150415-3:00,76
20150415-4:00,82
20150415-5:00,85
20150415-6:00,82
20150415-7:00,78
20150415-8:00,54
20150415-9:00,37
20150415-10:00,40
20150415-11:00,33
20150415-12:00,35
20150415-13:00,36
20150415-14:00,43
20150415-15:00,37
20150415-16:00,32
20150415-17:00,33
20150415-18:00,45
20150415-19:00,58
20150415-20:00,63
20150415-21:00,68
20150415-22:00,70
20150415-23:00,86
20150416-0:00,117
20150416-1:00,93
20150416-2:00,47
20150416-3:00,31
20150416-4:00,26
20150416-5:00,22
20150416-6:00,32
20150416-7:00,47
20150416-8:00,63
20150416-9:00,57
20150416-10:00,48
20150416-11:00,46
20150416-12:00,53
20150416-13:00,45
20150416-14:00,20
20150416-15:00,14
20150416-16:00,16
20150416-17:00,16
20150416-18:00,16
20150416-19:00,18
20150416-20:00,23
20150416-21:00,28
20150416-22:00,28
20150416-23:00,27
20150417-0:00,27
20150417-1:00,30
20150417-2:00,30
20150417-3:00,28
20150417-4:00,26
20150417-5:00,26
20150417-6:00,31
20150417-7:00,34
20150417-8:00,54
20150417-9:00,50
20150417-10:00,33
20150417-11:00,42
20150417-12:00,25
20150417-13:00,22
20150417-14:00,24
20150417-15:00,49
20150417-16:00,106
20150417-17:00,88
20150417-18:00,88
20150417-19:00,60
20150417-20:00,58
20150417-21:00,73
20150417-22:00,91
20150417-23:00,97
20150418-0:00,102
20150418-1:00,107
20150418-2:00,104
20150418-3:00,97
20150418-4:00,93
20150418-5:00,85
20150418-6:00,89
20150418-7:00,101
20150418-8:00,116
20150418-9:00,91
20150418-10:00,29
20150418-11:00,18
20150418-12:00,19
20150418-13:00,22
20150418-14:00,22
20150418-15:00,22
20150418-16:00,24
20150418-17:00,24
20150418-18:00,24
20150418-19:00,27
20150418-20:00,39
20150418-21:00,48
20150418-22:00,48
20150418-23:00,46
20150419-0:00,52
20150419-1:00,56
20150419-2:00,60
20150419-3:00,75
20150419-4:00,68
20150419-5:00,66
20150419-6:00,40
20150419-7:00,46
20150419-8:00,42
20150419-9:00,35
20150419-10:00,71
20150419-11:00,82
20150419-12:00,81
20150419-13:00,80
20150419-14:00,31
20150419-15:00,35
20150419-16:00,34
20150419-17:00,23
20150419-18:00,22
20150419-19:00,23
20150419-20:00,23
20150419-21:00,23
20150419-22:00,27
20150419-23:00,31
20150420-0:00,37
20150420-1:00,40
20150420-2:00,41
20150420-3:00,43
20150420-4:00,44
20150420-5:00,41
20150420-6:00,39
20150420-7:00,44
20150420-8:00,69
20150420-9:00,47
20150420-10:00,29
20150420-11:00,22
20150420-12:00,22
20150420-13:00,29
20150420-14:00,29
20150420-15:00,61
20150420-16:00,76
20150420-17:00,86
20150420-18:00,85
20150420-19:00,96
20150420-20:00,110
20150420-21:00,121
20150420-22:00,131
20150420-23:00,131
20150421-0:00,118
20150421-1:00,96
20150421-2:00,77
20150421-3:00,62
20150421-4:00,54
20150421-5:00,51
20150421-6:00,48
20150421-7:00,51
20150421-8:00,56
20150421-9:00,48
20150421-10:00,23
20150421-11:00,18
20150421-12:00,17
20150421-13:00,13
20150421-14:00,20
20150421-15:00,18
20150421-16:00,15
20150421-17:00,11
20150421-18:00,12
20150421-19:00,12
20150421-20:00,17
20150421-21:00,27
20150421-22:00,23
20150421-23:00,21
20150422-0:00,18
20150422-1:00,18
20150422-2:00,24
20150422-3:00,24
20150422-4:00,24
20150422-5:00,24
20150422-6:00,23
20150422-7:00,36
20150422-8:00,41
20150422-9:00,29
20150422-10:00,35
20150422-11:00,21
20150422-12:00,16
20150422-13:00,13
20150422-14:00,13
20150422-15:00,14
20150422-16:00,14
20150422-17:00,14
20150422-18:00,21
20150422-19:00,26
20150422-20:00,28
20150422-21:00,30
20150422-22:00,34
20150422-23:00,36
20150423-0:00,34
20150423-1:00,26
20150423-2:00,29
20150423-3:00,28
20150423-4:00,28
20150423-5:00,26
20150423-6:00,27
20150423-7:00,26
20150423-8:00,22
20150423-9:00,20
20150423-10:00,18
20150423-11:00,21
20150423-12:00,22
20150423-13:00,25
20150423-14:00,22
20150423-15:00,25
20150423-16:00,38
20150423-17:00,38
20150423-18:00,26
20150423-19:00,28
20150423-20:00,29
20150423-21:00,20
20150423-22:00,13
20150423-23:00,13
20150424-0:00,13
20150424-1:00,19
20150424-2:00,17
20150424-3:00,14
20150424-4:00,15
20150424-5:00,16
20150424-6:00,20
20150424-7:00,42
20150424-8:00,46
20150424-9:00,21
20150424-10:00,9
20150424-11:00,9
20150424-12:00,17
20150424-13:00,8
20150424-14:00,5
20150424-15:00,5
20150424-16:00,4
20150424-17:00,5
20150424-18:00,6
20150424-19:00,8
20150424-20:00,10
20150424-21:00,18
20150424-22:00,29
20150424-23:00,28
20150425-0:00,19
20150425-1:00,19
20150425-2:00,18
20150425-3:00,16
20150425-4:00,14
20150425-5:00,15
20150425-6:00,13
20150425-7:00,12
20150425-8:00,16
20150425-9:00,20
20150425-10:00,23
20150425-11:00,26
20150425-12:00,23
20150425-13:00,23
20150425-14:00,34
20150425-15:00,44
20150425-16:00,40
20150425-17:00,38
20150425-18:00,36
20150425-19:00,39
20150425-20:00,40
20150425-21:00,40
20150425-22:00,41
20150425-23:00,63
20150426-0:00,64
20150426-1:00,58
20150426-2:00,68
20150426-3:00,69
20150426-4:00,72
20150426-5:00,81
20150426-6:00,87
20150426-7:00,78
20150426-8:00,79
20150426-9:00,66
20150426-10:00,53
20150426-11:00,47
20150426-12:00,41
20150426-13:00,53
20150426-14:00,54
20150426-15:00,46
20150426-16:00,40
20150426-17:00,41
20150426-18:00,37
20150426-19:00,36
20150426-20:00,39
20150426-21:00,37
20150426-22:00,35
20150426-23:00,36
20150427-0:00,39
20150427-1:00,44
20150427-2:00,46
20150427-3:00,47
20150427-4:00,52
20150427-5:00,54
20150427-6:00,54
20150427-7:00,57
20150427-8:00,58
20150427-9:00,59.33333333
20150427-10:00,60.66666667
20150427-11:00,62
20150427-12:00,63.33333333
20150427-13:00,64.66666667
20150427-14:00,66
20150427-15:00,72
20150427-16:00,68
20150427-17:00,71
20150427-18:00,74
20150427-19:00,80
20150427-20:00,76
20150427-21:00,82
20150427-22:00,65
20150427-23:00,54
20150428-0:00,53
20150428-1:00,51
20150428-2:00,52
20150428-3:00,48
20150428-4:00,42
20150428-5:00,38
20150428-6:00,31
20150428-7:00,30
20150428-8:00,34.4
20150428-9:00,38.8
20150428-10:00,43.2
20150428-11:00,47.6
20150428-12:00,52
20150428-13:00,45
20150428-14:00,47
20150428-15:00,40
20150428-16:00,42
20150428-17:00,42
20150428-18:00,48
20150428-19:00,48
20150428-20:00,48
20150428-21:00,49
20150428-22:00,47
20150428-23:00,46
20150429-0:00,45
20150429-1:00,58
20150429-2:00,49
20150429-3:00,47
20150429-4:00,47
20150429-5:00,47
20150429-6:00,40
20150429-7:00,45
20150429-8:00,67
20150429-9:00,61
20150429-10:00,55
20150429-11:00,49
20150429-12:00,36
20150429-13:00,35
20150429-14:00,35
20150429-15:00,35
20150429-16:00,38
20150429-17:00,41
20150429-18:00,43
20150429-19:00,29
20150429-20:00,33
20150429-21:00,39
20150429-22:00,40
20150429-23:00,39
20150430-0:00,39
20150430-1:00,37
20150430-2:00,39
20150430-3:00,36
20150430-4:00,33
20150430-5:00,24
20150430-6:00,28
20150430-7:00,26
20150430-8:00,36
20150430-9:00,65
20150430-10:00,51
20150430-11:00,48
20150430-12:00,47
20150430-13:00,41
20150430-14:00,37
20150430-15:00,32
20150430-16:00,32
20150430-17:00,34
20150430-18:00,32
20150430-19:00,32
20150430-20:00,24
20150430-21:00,29
20150430-22:00,26
20150430-23:00,28
20150501-0:00,25
20150501-1:00,25
20150501-2:00,25
20150501-3:00,28
20150501-4:00,30
20150501-5:00,38
20150501-6:00,48
20150501-7:00,51
20150501-8:00,41
20150501-9:00,43
20150501-10:00,29
20150501-11:00,25
20150501-12:00,26
20150501-13:00,27
20150501-14:00,27
20150501-15:00,30
20150501-16:00,33
20150501-17:00,29
20150501-18:00,22
20150501-19:00,23
20150501-20:00,32
20150501-21:00,42
20150501-22:00,37
20150501-23:00,34
20150502-0:00,32
20150502-1:00,33
20150502-2:00,34
20150502-3:00,36
20150502-4:00,34
20150502-5:00,31
20150502-6:00,37
20150502-7:00,43
20150502-8:00,43
20150502-9:00,47
20150502-10:00,47
20150502-11:00,42
20150502-12:00,36
20150502-13:00,30
20150502-14:00,22
20150502-15:00,22
20150502-16:00,20
20150502-17:00,19
20150502-18:00,17
20150502-19:00,22
20150502-20:00,25
20150502-21:00,34
20150502-22:00,40
20150502-23:00,39
20150503-0:00,35
20150503-1:00,35
20150503-2:00,35
20150503-3:00,35
20150503-4:00,34
20150503-5:00,36
20150503-6:00,40
20150503-7:00,55
20150503-8:00,57
20150503-9:00,37
20150503-10:00,16
20150503-11:00,10
20150503-12:00,11
20150503-13:00,10
20150503-14:00,8
20150503-15:00,9
20150503-16:00,9
20150503-17:00,10
20150503-18:00,12
20150503-19:00,16
20150503-20:00,21
20150503-21:00,25
20150503-22:00,27
20150503-23:00,24
20150504-0:00,26
20150504-1:00,23
20150504-2:00,20
20150504-3:00,22
20150504-4:00,21
20150504-5:00,19
20150504-6:00,20
20150504-7:00,19
20150504-8:00,16
20150504-9:00,12
20150504-10:00,10
20150504-11:00,9
20150504-12:00,13
20150504-13:00,23
20150504-14:00,35
20150504-15:00,47
20150504-16:00,53
20150504-17:00,67
20150504-18:00,59
20150504-19:00,48
20150504-20:00,48
20150504-21:00,38
20150504-22:00,27
20150504-23:00,20
20150505-0:00,18
20150505-1:00,17
20150505-2:00,16
20150505-3:00,17
20150505-4:00,17
20150505-5:00,18
20150505-6:00,20
20150505-7:00,26
20150505-8:00,29
20150505-9:00,36
20150505-10:00,37
20150505-11:00,46
20150505-12:00,81
20150505-13:00,126
20150505-14:00,116
20150505-15:00,151
20150505-16:00,132
20150505-17:00,144
20150505-18:00,158
20150505-19:00,123
20150505-20:00,102
20150505-21:00,107
20150505-22:00,107
20150505-23:00,108
20150506-0:00,110
20150506-1:00,100
20150506-2:00,70
20150506-3:00,48
20150506-4:00,38
20150506-5:00,28
20150506-6:00,25
20150506-7:00,25
20150506-8:00,19
20150506-9:00,13
20150506-10:00,17
20150506-11:00,27
20150506-12:00,36
20150506-13:00,41
20150506-14:00,50
20150506-15:00,59
20150506-16:00,51
20150506-17:00,47
20150506-18:00,40
20150506-19:00,39
20150506-20:00,38
20150506-21:00,40
20150506-22:00,43
20150506-23:00,36
20150507-0:00,31
20150507-1:00,28
20150507-2:00,24
20150507-3:00,23
20150507-4:00,22
20150507-5:00,22
20150507-6:00,22
20150507-7:00,25
20150507-8:00,28
20150507-9:00,22
20150507-10:00,14
20150507-11:00,17
20150507-12:00,18
20150507-13:00,18
20150507-14:00,26
20150507-15:00,47
20150507-16:00,49
20150507-17:00,71
20150507-18:00,68
20150507-19:00,45
20150507-20:00,24
20150507-21:00,17
20150507-22:00,18
20150507-23:00,17
20150508-0:00,16
20150508-1:00,15
20150508-2:00,14
20150508-3:00,15
20150508-4:00,16
20150508-5:00,15
20150508-6:00,17
20150508-7:00,17
20150508-8:00,12
20150508-9:00,12
20150508-10:00,11
20150508-11:00,10
20150508-12:00,10
20150508-13:00,9
20150508-14:00,7
20150508-15:00,7
20150508-16:00,8
20150508-17:00,11
20150508-18:00,13
20150508-19:00,16
20150508-20:00,15
20150508-21:00,15
20150508-22:00,18
20150508-23:00,19
20150509-0:00,21
20150509-1:00,22
20150509-2:00,22
20150509-3:00,23
20150509-4:00,24
20150509-5:00,28
20150509-6:00,29
20150509-7:00,31
20150509-8:00,37
20150509-9:00,23
20150509-10:00,19
20150509-11:00,18
20150509-12:00,13
20150509-13:00,13
20150509-14:00,10
20150509-15:00,8
20150509-16:00,7
20150509-17:00,7
20150509-18:00,8
20150509-19:00,7
20150509-20:00,8
20150509-21:00,10
20150509-22:00,10
20150509-23:00,12
20150510-0:00,12
20150510-1:00,14
20150510-2:00,17
20150510-3:00,15
20150510-4:00,15
20150510-5:00,16
20150510-6:00,15
20150510-7:00,15
20150510-8:00,18
20150510-9:00,13
20150510-10:00,8
20150510-11:00,8
20150510-12:00,8
20150510-13:00,8
20150510-14:00,8
20150510-15:00,8
20150510-16:00,10
20150510-17:00,11
20150510-18:00,11
20150510-19:00,12
20150510-20:00,13
20150510-21:00,13
20150510-22:00,16
20150510-23:00,17
20150511-0:00,19
20150511-1:00,22
20150511-2:00,20
20150511-3:00,17
20150511-4:00,18
20150511-5:00,18
20150511-6:00,20
20150511-7:00,22
20150511-8:00,20
20150511-9:00,25
20150511-10:00,30
20150511-11:00,17
20150511-12:00,13
20150511-13:00,14
20150511-14:00,18
20150511-15:00,47
20150511-16:00,58
20150511-17:00,44
20150511-18:00,37
20150511-19:00,31
20150511-20:00,31
20150511-21:00,30
20150511-22:00,36
20150511-23:00,37
20150512-0:00,33
20150512-1:00,33
20150512-2:00,32
20150512-3:00,30
20150512-4:00,21
20150512-5:00,17
20150512-6:00,15
20150512-7:00,13
20150512-8:00,13
20150512-9:00,4
20150512-10:00,3
20150512-11:00,3
20150512-12:00,3
20150512-13:00,4
20150512-14:00,4
20150512-15:00,4
20150512-16:00,4
20150512-17:00,4
20150512-18:00,4
20150512-19:00,4
20150512-20:00,5
20150512-21:00,5
20150512-22:00,5
20150512-23:00,5
20150513-0:00,6
20150513-1:00,5
20150513-2:00,4
20150513-3:00,4
20150513-4:00,4
20150513-5:00,4
20150513-6:00,4
20150513-7:00,6
20150513-8:00,9
20150513-9:00,12
20150513-10:00,9
20150513-11:00,6
20150513-12:00,5
20150513-13:00,5
20150513-14:00,4
20150513-15:00,3
20150513-16:00,4
20150513-17:00,5
20150513-18:00,6
20150513-19:00,8
20150513-20:00,14
20150513-21:00,16
20150513-22:00,14
20150513-23:00,15
20150514-0:00,17
20150514-1:00,16
20150514-2:00,15
20150514-3:00,11
20150514-4:00,8
20150514-5:00,9
20150514-6:00,9
20150514-7:00,12
20150514-8:00,15
20150514-9:00,18
20150514-10:00,24
20150514-11:00,27
20150514-12:00,32
20150514-13:00,42
20150514-14:00,57
20150514-15:00,78
20150514-16:00,55
20150514-17:00,38
20150514-18:00,30
20150514-19:00,29
20150514-20:00,34
20150514-21:00,39
20150514-22:00,38
20150514-23:00,47
20150515-0:00,52
20150515-1:00,51
20150515-2:00,40
20150515-3:00,31
20150515-4:00,32
20150515-5:00,34
20150515-6:00,16
20150515-7:00,11
20150515-8:00,12
20150515-9:00,8
20150515-10:00,13
20150515-11:00,14
20150515-12:00,16
20150515-13:00,16
20150515-14:00,18
20150515-15:00,16
20150515-16:00,12
20150515-17:00,12
20150515-18:00,13
20150515-19:00,16
20150515-20:00,18
20150515-21:00,20
20150515-22:00,21
20150515-23:00,24
20150516-0:00,26
20150516-1:00,28
20150516-2:00,28
20150516-3:00,26
20150516-4:00,25
20150516-5:00,24
20150516-6:00,27
20150516-7:00,27
20150516-8:00,23
20150516-9:00,19
20150516-10:00,12
20150516-11:00,9
20150516-12:00,8
20150516-13:00,8
20150516-14:00,10
20150516-15:00,14
20150516-16:00,18
20150516-17:00,17
20150516-18:00,15
20150516-19:00,10
20150516-20:00,9
20150516-21:00,11
20150516-22:00,13
20150516-23:00,13
20150517-0:00,11
20150517-1:00,10
20150517-2:00,11
20150517-3:00,14
20150517-4:00,14
20150517-5:00,19
20150517-6:00,20
20150517-7:00,26
20150517-8:00,24
20150517-9:00,35
20150517-10:00,37
20150517-11:00,37
20150517-12:00,34
20150517-13:00,31
20150517-14:00,34
20150517-15:00,35
20150517-16:00,33
20150517-17:00,37
20150517-18:00,42
20150517-19:00,45
20150517-20:00,49
20150517-21:00,49
20150517-22:00,42
20150517-23:00,38
20150518-0:00,49
20150518-1:00,49
20150518-2:00,24
20150518-3:00,21
20150518-4:00,41
20150518-5:00,51
20150518-6:00,55
20150518-7:00,67
20150518-8:00,77
20150518-9:00,62
20150518-10:00,29
20150518-11:00,37
20150518-12:00,39
20150518-13:00,43
20150518-14:00,44
20150518-15:00,39
20150518-16:00,37
20150518-17:00,9
20150518-18:00,8
20150518-19:00,10
20150518-20:00,10
20150518-21:00,10
20150518-22:00,12
20150518-23:00,15
20150519-0:00,15
20150519-1:00,15
20150519-2:00,15
20150519-3:00,16
20150519-4:00,19
20150519-5:00,28
20150519-6:00,29
20150519-7:00,24
20150519-8:00,18
20150519-9:00,13
20150519-10:00,9
20150519-11:00,8
20150519-12:00,9
20150519-13:00,6
20150519-14:00,5
20150519-15:00,5
20150519-16:00,5
20150519-17:00,7
20150519-18:00,9
20150519-19:00,10
20150519-20:00,22
20150519-21:00,25
20150519-22:00,24
20150519-23:00,21
20150520-0:00,21
20150520-1:00,25
20150520-2:00,20
20150520-3:00,17
20150520-4:00,18
20150520-5:00,17
20150520-6:00,16
20150520-7:00,18
20150520-8:00,24
20150520-9:00,18
20150520-10:00,11
20150520-11:00,10
20150520-12:00,11
20150520-13:00,11
20150520-14:00,8
20150520-15:00,7
20150520-16:00,6
20150520-17:00,6
20150520-18:00,7
20150520-19:00,10
20150520-20:00,12
20150520-21:00,13
20150520-22:00,15
20150520-23:00,18
20150521-0:00,16
20150521-1:00,16
20150521-2:00,17
20150521-3:00,16
20150521-4:00,17
20150521-5:00,18
20150521-6:00,17
20150521-7:00,17
20150521-8:00,18
20150521-9:00,17
20150521-10:00,17
20150521-11:00,18
20150521-12:00,15
20150521-13:00,10
20150521-14:00,8
20150521-15:00,10
20150521-16:00,11
20150521-17:00,12
20150521-18:00,15
20150521-19:00,16
20150521-20:00,17
20150521-21:00,16
20150521-22:00,21
20150521-23:00,23
20150522-0:00,23
20150522-1:00,19
20150522-2:00,19
20150522-3:00,21
20150522-4:00,22
20150522-5:00,25
20150522-6:00,30
20150522-7:00,36
20150522-8:00,37
20150522-9:00,37
20150522-10:00,29
20150522-11:00,26
20150522-12:00,22
20150522-13:00,16
20150522-14:00,14
20150522-15:00,16
20150522-16:00,15
20150522-17:00,16
20150522-18:00,17
20150522-19:00,19
20150522-20:00,18
20150522-21:00,18
20150522-22:00,21
20150522-23:00,24
20150523-0:00,25
20150523-1:00,26
20150523-2:00,35
20150523-3:00,38
20150523-4:00,30
20150523-5:00,35
20150523-6:00,46
20150523-7:00,53
20150523-8:00,59
20150523-9:00,54
20150523-10:00,46
20150523-11:00,43
20150523-12:00,41
20150523-13:00,33
20150523-14:00,28
20150523-15:00,30
20150523-16:00,29
20150523-17:00,28
20150523-18:00,28.35294118
20150523-19:00,28.70588235
20150523-20:00,29.05882353
20150523-21:00,29.41176471
20150523-22:00,29.76470588
20150523-23:00,30.11764706
20150524-0:00,30.47058824
20150524-1:00,30.82352941
20150524-2:00,31.17647059
20150524-3:00,31.52941176
20150524-4:00,31.88235294
20150524-5:00,32.23529412
20150524-6:00,32.58823529
20150524-7:00,32.94117647
20150524-8:00,33.29411765
20150524-9:00,33.64705882
20150524-10:00,34
20150524-11:00,34
20150524-12:00,32
20150524-13:00,30
20150524-14:00,27
20150524-15:00,24
20150524-16:00,27
20150524-17:00,29
20150524-18:00,26
20150524-19:00,25
20150524-20:00,27
20150524-21:00,35
20150524-22:00,43
20150524-23:00,46
20150525-0:00,50
20150525-1:00,67
20150525-2:00,75
20150525-3:00,77
20150525-4:00,73
20150525-5:00,70
20150525-6:00,69
20150525-7:00,69
20150525-8:00,64
20150525-9:00,55
20150525-10:00,47
20150525-11:00,41
20150525-12:00,39
20150525-13:00,41
20150525-14:00,41
20150525-15:00,43
20150525-16:00,45
20150525-17:00,41
20150525-18:00,41
20150525-19:00,39
20150525-20:00,43
20150525-21:00,42
20150525-22:00,47
20150525-23:00,50
20150526-0:00,47
20150526-1:00,43
20150526-2:00,46
20150526-3:00,59
20150526-4:00,56
20150526-5:00,53
20150526-6:00,54
20150526-7:00,58
20150526-8:00,63
20150526-9:00,59
20150526-10:00,58
20150526-11:00,55
20150526-12:00,57
20150526-13:00,52
20150526-14:00,50
20150526-15:00,53
20150526-16:00,57
20150526-17:00,60
20150526-18:00,62
20150526-19:00,77
20150526-20:00,83
20150526-21:00,63
20150526-22:00,59
20150526-23:00,64
20150527-0:00,73
20150527-1:00,65
20150527-2:00,67
20150527-3:00,50
20150527-4:00,48
20150527-5:00,46
20150527-6:00,44
20150527-7:00,48
20150527-8:00,56
20150527-9:00,53
20150527-10:00,27
20150527-11:00,17
20150527-12:00,14
20150527-13:00,15
20150527-14:00,17
20150527-15:00,17
20150527-16:00,16
20150527-17:00,14
20150527-18:00,17
20150527-19:00,20
20150527-20:00,22
20150527-21:00,25
20150527-22:00,26
20150527-23:00,27
20150528-0:00,32
20150528-1:00,40
20150528-2:00,58
20150528-3:00,76
